construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,4285,5,0.5328,0.7769,0.7769,1.0000,0.7549,0.7805,0.7806,0.7788,0.7798,0.4589,0.7663,ok,0.0001,0.7817,0.2227
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,6203,5,0.7993,0.7537,0.7537,1.0000,0.7822,0.7680,0.7654,0.7822,0.7872,0.2782,0.7721,ok,0.9999,0.7875,0.9914
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,6005,5,0.8243,0.6973,0.6973,1.0000,0.7474,0.7276,0.7533,0.7657,0.7660,0.2192,0.7664,ok,0.9999,0.7583,1.0000
violation+judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,2872,5,0.4217,0.6413,0.6413,1.0000,0.6553,0.6765,0.6927,0.7006,0.6870,0.6268,0.6864,ok,0.0001,0.6932,0.0000
violation+judgment,alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,yes,3067,5,0.3384,0.7255,0.7255,1.0000,0.6948,0.7508,0.7442,0.7525,0.7486,0.5419,0.7447,ok,0.0001,0.7562,0.0012
violation+judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,6507,5,0.9096,0.7281,0.7281,1.0000,0.7650,0.8061,0.7775,0.7984,0.7990,0.2502,0.8075,ok,0.9999,0.8026,1.0000
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,4285,5,0.5328,0.5114,0.5114,1.0000,0.6151,0.6240,0.6236,0.6288,0.6211,0.4549,0.6242,ok,0.0001,0.6288,0.0010
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,6203,5,0.7993,0.5079,0.5079,1.0000,0.5939,0.5865,0.5714,0.5929,0.5866,0.4239,0.5811,ok,0.0001,0.5987,0.0015
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,6005,5,0.8243,0.5127,0.5127,1.0000,0.5818,0.5794,0.5786,0.5701,0.5829,0.2709,0.5813,ok,0.0001,0.5882,0.0005
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,2872,5,0.4217,0.4995,0.4995,1.0000,0.5384,0.5387,0.5399,0.5464,0.5406,0.4409,0.5562,ok,0.0001,0.5555,0.0000
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,deepseek-v4-flash,no,3067,5,0.3384,0.4990,0.4990,1.0000,0.5270,0.5281,0.5359,0.5126,0.5363,0.6917,0.5273,ok,0.0001,0.5524,0.0000
violation+judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,6507,5,0.9096,0.5181,0.5181,1.0000,0.6313,0.5713,0.6551,0.6730,0.6721,0.2736,0.6762,ok,0.0001,0.6742,0.0012
violation+judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,4285,5,0.5328,0.5248,0.5248,1.0000,0.5309,0.5212,0.5336,0.5163,0.5253,0.4340,0.5159,ok,0.2608,0.5245,0.0180
violation+judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,6203,5,0.7993,0.4667,0.4667,1.0000,0.4728,0.4785,0.4870,0.4988,0.4735,0.3018,,no_boundary_between_means,,0.5062,0.9627
violation+judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,no,6005,5,0.8243,0.4738,0.4738,1.0000,0.4677,0.4747,0.4900,0.4906,0.4750,0.4270,0.4719,ok,0.5415,0.5066,0.0230
violation+judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,2872,5,0.4217,0.4927,0.4927,1.0000,0.4949,0.4938,0.4521,0.4952,0.5000,0.0000,0.4420,ok,0.0611,0.5050,0.0041
violation+judgment,alfworld,Phi-4-mini-instruct,deepseek-v4-flash,no,3067,5,0.3384,0.4827,0.4827,1.0000,0.4939,0.4728,0.4864,0.4872,0.4895,0.2296,,no_boundary_between_means,,0.5131,0.0141
violation+judgment,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,no,6507,5,0.9096,0.4996,0.4996,1.0000,0.4961,0.5226,0.5242,0.5221,0.5035,0.5735,,no_boundary_between_means,,0.5246,0.0759
violation+judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,yes,4285,5,0.5328,0.7591,0.7591,1.0000,0.7825,0.7859,0.8298,0.8352,0.7915,0.3728,,no_boundary_between_means,,0.8342,0.8336
violation+judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,yes,6203,5,0.7993,0.7154,0.7154,1.0000,0.7909,0.7961,0.7839,0.7977,0.8043,0.2958,,no_boundary_between_means,,0.8030,0.8295
violation+judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,yes,6005,5,0.8243,0.6668,0.6668,1.0000,0.7579,0.7591,0.7775,0.7870,0.7870,0.2709,0.5934,ok,0.9989,0.7910,0.8611
violation+judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,yes,2872,5,0.4217,0.6144,0.6144,1.0000,0.6365,0.6032,0.6270,0.6491,0.6083,0.7035,,no_boundary_between_means,,0.6451,0.2451
violation+judgment,alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,yes,3067,5,0.3384,0.7916,0.7916,1.0000,0.6890,0.7905,0.7930,0.7635,0.7550,0.4800,,no_boundary_between_means,,0.8008,0.5601
violation+judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,yes,6507,5,0.9096,0.7127,0.7127,1.0000,0.7915,0.8108,0.7700,0.8244,0.8209,0.2681,0.5895,ok,0.9989,0.8221,0.9013
violation+judgment,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,no,4285,5,0.5328,0.4723,0.4723,1.0000,0.5573,0.5427,0.4980,0.5554,0.5565,0.1350,0.5013,ok,0.0001,0.5594,0.0000
violation+judgment,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,6203,5,0.7993,0.4206,0.4206,1.0000,0.5182,0.5235,0.5242,0.5586,0.5610,0.0775,0.4687,ok,0.0001,0.5609,0.0000
violation+judgment,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,no,6005,5,0.8243,0.4279,0.4279,1.0000,0.5158,0.5328,0.5308,0.5418,0.5449,0.0321,0.4863,ok,0.0001,0.5571,0.0000
violation+judgment,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,no,2872,5,0.4217,0.5023,0.5023,1.0000,0.5928,0.5833,0.5614,0.6050,0.6097,0.2945,0.5191,ok,0.0001,0.6117,0.0000
